market_name,market_symbol,market_decimals,index,asset,priceFeed,scale,borrowCollateralFactor,liquidateCollateralFactor,liquidationFactor,supplyCap
"Compound USDC","cUSDCv3",6,0,0xc00e94Cb662C3520282E6f5717214004A7f26888,0xdbd020CAeF83eFd542f4De03e3cF0C28A4428bd5,1000000000000000000,500000000000000000,700000000000000000,750000000000000000,100000000000000000000000
"Compound USDC","cUSDCv3",6,1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xF4030086522a5bEEa4988F8cA5B36dbC97BeE88c,100000000,800000000000000000,850000000000000000,900000000000000000,1000000000000
"Compound USDC","cUSDCv3",6,2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419,1000000000000000000,825000000000000000,880000000000000000,930000000000000000,500000000000000000000000
"Compound USDC","cUSDCv3",6,3,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x553303d460EE0afB37EdFf9bE42922D8FF63220e,1000000000000000000,680000000000000000,740000000000000000,830000000000000000,2600000000000000000000000
"Compound USDC","cUSDCv3",6,4,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x2c1d072e956AFFC0D435Cb7AC38EF18d24d9127c,1000000000000000000,730000000000000000,790000000000000000,830000000000000000,2000000000000000000000000
"Compound USDC","cUSDCv3",6,5,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x023ee795361B28cDbB94e302983578486A0A5f1B,1000000000000000000,800000000000000000,850000000000000000,900000000000000000,75000000000000000000000
"Compound USDC","cUSDCv3",6,6,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0A4F4F9E84Fc4F674F0D209f94d41FaFE5aF887D,100000000,800000000000000000,850000000000000000,950000000000000000,90000000000
"Compound USDC","cUSDCv3",6,7,0x18084fbA666a33d37592fA2633fD49a74DD93a88,0xAA9527bf3183A96fe6e55831c96dE5cd988d3484,1000000000000000000,800000000000000000,850000000000000000,900000000000000000,570000000000000000000
"Compound USDC","cUSDCv3",6,8,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xE26A969Ffd2EF1434c1c6955F8202DCC41e821C0,1000000000000000000,750000000000000000,800000000000000000,900000000000000000,12000000000000000000000
"Compound USDC","cUSDCv3",6,9,0x15700B564Ca08D9439C58cA5053166E8317aa138,0x471a6299C027Bd81ed4D66069dc510Bd0569f4F8,1000000000000000000,880000000000000000,900000000000000000,960000000000000000,8000000000000000000000000
"Compound USDC","cUSDCv3",6,10,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,0xE4829421ae79f2F44716cCbbb40751cd6Be3d483,1000000000000000000,880000000000000000,900000000000000000,960000000000000000,5000000000000000000000000
"Compound USDC","cUSDCv3",6,11,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0x92014e7f331dFaB2848A5872AA8b2E7b6f3cE8B4,1000000000000000000,850000000000000000,900000000000000000,950000000000000000,1500000000000000000000
